Bob Benny, Belgium,1959,"""Hou toch van mij""",Gay,9,6
Jean-Claude Pascal, Luxembourg,1961,"""Nous les amoureux""",Gay,31,1
Bob Benny, Belgium,1961,"""September, gouden roos""",Gay,1,15
Kathy Kirby, United Kingdom,1965,"""I Belong""",Lesbian,26,2
Patrick Juvet, Switzerland,1973,"""Je vais me marier, Marie""",Bisexual,79,12
Jean-Claude Pascal, Luxembourg,1981,"""C'est peut-être pas l'Amérique""",Gay,41,11
Paul Oscar, Iceland,1997,"""Minn hinsti dans""",Gay,18,20
, United Kingdom,1997,"""Love Shine a Light""",Lesbian,227,1
Dana International, Israel,1998,"""Diva""",Trans,172,1
Sarit Hadad, Israel,2002,"""Light a Candle""",Lesbian,37,12
Deen, Bosnia and Herzegovina,2004,"""In the Disco""",Gay,91,9
Marija Šerifovi?, Serbia,2007,"""Molitva"" (???????)",Lesbian,268,1
Harel Skaat, Israel,2010,"""Milim"" (?????)",Gay,71,14
"Duncan James, Lee Ryan", United Kingdom,2011,"""I Can""","Gay, Bisexual",100,11
Dana International, Israel,2011,"""Ding Dong""",Trans,Failed to qualify,
Loreen, Sweden,2012,"""Euphoria""",Bisexual,372,1
Ryan Dolan, Ireland,2013,"""Only Love Survives""",Gay,5,26
Conchita Wurst, Austria,2014,"""Rise Like a Phoenix""",Drag,290,1
Douwe Bob, Netherlands,2016,"""Slow Down""",Bisexual,153,11
Hovi Star, Israel,2016,"""Made of Stars""",Gay,135,14
Deen[f], Bosnia and Herzegovina,2016,"""Ljubav je""",Gay,Failed to qualify,
Slavko Kalezi?, Montenegro,2017,"""Space""",Gay,Failed to qualify,
Mélovin, Ukraine,2018,"""Under the Ladder""",Bisexual,130,17
Saara Aalto, Finland,2018,"""Monsters""",Lesbian,46,25
Duncan Laurence, Netherlands,2019,"""Arcade""",Bisexual,290,1
Bilal Hassani, France,2019,"""Roi""",Queer,105,16
, Norway,2019,"""Spirit in the Sky""",Gay,331,6
"Victoria De Angelis, Ethan Torchio", Italy,2021,"""Zitti e buoni""","Bisexual, Queer",524,1
Hulda Kristín Kolbrúnardóttir, Iceland,2021,"""10 Years""",Pansexual,378,4
Jeangu Macrooy, Netherlands,2021,"""Birth of a New Age""",Gay,11,23
Blas Cantó, Spain,2021,"""Voy a quedarme""",Bisexual,6,24
Jendrik, Germany,2021,"""I Don't Feel Hate""",Gay,3,25
Montaigne, Australia,2021,"""Technicolour""",Bisexual  + non-binary,Failed to qualify,
Lesley Roy, Ireland,2021,"""Maps""",Lesbian,Failed to qualify,
Vasil, North Macedonia,2021,"""Here I Stand""",Gay,Failed to qualify,
Roxen, Romania,2021,"""Amnesia""",Non-binary,Failed to qualify,
Sheldon Riley, Australia,2022,"""Not the Same""",Gay,125,15
WRS, Romania,2022,"""Llámame""",Pansexual,65,18
Elín Eyþórsdótt, Iceland,2022,"""Með hækkandi sól""",Lesbian,20,23
Michael Ben David, Israel,2022,"""I.M""",Gay,Failed to qualify,
Loreen, Sweden,2023,"""Tattoo""",Bisexual,583,1
Alessandra Mele, Norway,2023,"""Queen of Kings""",Bisexual,268,5
Gustaph, Belgium,2023,"""Because of You""",Gay,182,7
Luke Black, Serbia,2023,"""Samo mi se spava"" (???? ?? ?? ?????)",Gay,30,24
